,epsilon,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,acc,macro-F1,micro-F1
10,0.01,0.6382393397524071,0.9526090675791274,0.7643626878989634,104,312,6,2,0.0,0.0,0.0,0,0,0,0,0.5420311905667554,0.7545005294740558,0.6308566369069578,226,855,2,2,0.0,0.0,0.0,0,0,0,0,0.5088595360824743,0.8873595505617977,0.6468058968058968,10,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
11,0.011,0.6382393397524071,0.9526090675791274,0.7643626878989634,104,312,6,2,0.0,0.0,0.0,0,0,0,0,0.5420311905667554,0.7545005294740558,0.6308566369069578,226,855,2,2,0.0,0.0,0.0,0,0,0,0,0.5088595360824743,0.8873595505617977,0.6468058968058968,10,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
12,0.012,0.6382393397524071,0.9526090675791274,0.7643626878989634,104,312,6,2,0.0,0.0,0.0,0,0,0,0,0.5420311905667554,0.7545005294740558,0.6308566369069578,226,855,2,2,0.0,0.0,0.0,0,0,0,0,0.5088595360824743,0.8873595505617977,0.6468058968058968,10,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
13,0.013000000000000001,0.7011977573904179,0.9414884516680924,0.8037683487913532,980,312,6,2,0.0,0.0,0.0,0,0,0,0,0.5420311905667554,0.7545005294740558,0.6308566369069578,226,855,2,2,0.0,0.0,0.0,0,0,0,0,0.5088595360824743,0.8873595505617977,0.6468058968058968,10,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
14,0.014,0.7083011085331271,0.9401197604790419,0.8079100198485627,1070,312,8,2,0.0,0.0,0.0,0,0,0,0,0.638796992481203,0.7497352629721143,0.6898343618057812,1463,855,2,2,0.0,0.0,0.0,0,0,0,0,0.5088595360824743,0.8873595505617977,0.6468058968058968,10,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
15,0.015,0.7083011085331271,0.9401197604790419,0.8079100198485627,1070,312,8,2,0.0,0.0,0.0,0,0,0,0,0.638796992481203,0.7497352629721143,0.6898343618057812,1463,855,2,2,0.0,0.0,0.0,0,0,0,0,0.5088595360824743,0.8873595505617977,0.6468058968058968,10,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
16,0.016,0.7083011085331271,0.9401197604790419,0.8079100198485627,1070,312,8,2,0.0,0.0,0.0,0,0,0,0,0.638796992481203,0.7497352629721143,0.6898343618057812,1463,855,2,2,0.0,0.0,0.0,0,0,0,0,0.5088595360824743,0.8873595505617977,0.6468058968058968,10,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
17,0.017,0.7083011085331271,0.9401197604790419,0.8079100198485627,1070,312,8,2,0.0,0.0,0.0,0,0,0,0,0.638796992481203,0.7497352629721143,0.6898343618057812,1463,855,2,2,0.0,0.0,0.0,0,0,0,0,0.5088595360824743,0.8873595505617977,0.6468058968058968,10,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
18,0.018000000000000002,0.7083011085331271,0.9401197604790419,0.8079100198485627,1070,312,8,2,0.0,0.0,0.0,0,0,0,0,0.638796992481203,0.7497352629721143,0.6898343618057812,1463,855,2,2,0.0,0.0,0.0,0,0,0,0,0.5705081001472754,0.8705056179775281,0.689279359430605,786,197,4,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
19,0.019,0.7083011085331271,0.9401197604790419,0.8079100198485627,1070,312,8,2,0.0,0.0,0.0,0,0,0,0,0.638796992481203,0.7497352629721143,0.6898343618057812,1463,855,2,2,0.0,0.0,0.0,0,0,0,0,0.5703485155817813,0.8688202247191011,0.6886340866080375,795,197,6,2,0.5895847671484286,0.4164174760347198,0.5895847671484286
