,epsilon,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,pre,recall,F1,NSC,PSC,NRC,PRC,acc,macro-F1,micro-F1
14,0.014,0.721513890752919,0.9197604790419162,0.8086642599277978,1065,0,8,0,0.0,0.0,0.0,0,0,0,0,0.6506211180124224,0.6655488881044829,0.6580003489792358,1462,0,2,0,0.0,0.0,0.0,0,0,0,0,0.5065669160432252,0.8558988764044944,0.6364490861618798,6,0,4,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
15,0.015,0.721513890752919,0.9197604790419162,0.8086642599277978,1065,0,8,0,0.0,0.0,0.0,0,0,0,0,0.6506211180124224,0.6655488881044829,0.6580003489792358,1462,0,2,0,0.0,0.0,0.0,0,0,0,0,0.5065669160432252,0.8558988764044944,0.6364490861618798,6,0,4,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
16,0.016,0.721513890752919,0.9197604790419162,0.8086642599277978,1065,0,8,0,0.0,0.0,0.0,0,0,0,0,0.6506211180124224,0.6655488881044829,0.6580003489792358,1462,0,2,0,0.0,0.0,0.0,0,0,0,0,0.5065669160432252,0.8558988764044944,0.6364490861618798,6,0,4,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
17,0.017,0.721513890752919,0.9197604790419162,0.8086642599277978,1065,0,8,0,0.0,0.0,0.0,0,0,0,0,0.6506211180124224,0.6655488881044829,0.6580003489792358,1462,0,2,0,0.0,0.0,0.0,0,0,0,0,0.5065669160432252,0.8558988764044944,0.6364490861618798,6,0,4,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
18,0.018000000000000002,0.721513890752919,0.9197604790419162,0.8086642599277978,1065,0,8,0,0.0,0.0,0.0,0,0,0,0,0.6506211180124224,0.6655488881044829,0.6580003489792358,1462,0,2,0,0.0,0.0,0.0,0,0,0,0,0.5687095546250476,0.8393258426966292,0.6780122532334922,767,0,4,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
19,0.019,0.721513890752919,0.9197604790419162,0.8086642599277978,1065,0,8,0,0.0,0.0,0.0,0,0,0,0,0.6506211180124224,0.6655488881044829,0.6580003489792358,1462,0,2,0,0.0,0.0,0.0,0,0,0,0,0.5686797485235283,0.8384831460674157,0.6777159723010557,772,0,6,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
20,0.02,0.721513890752919,0.9197604790419162,0.8086642599277978,1065,0,8,0,0.0,0.0,0.0,0,0,0,0,0.6506211180124224,0.6655488881044829,0.6580003489792358,1462,0,2,0,0.0,0.0,0.0,0,0,0,0,0.5686797485235283,0.8384831460674157,0.6777159723010557,772,0,6,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
21,0.021,0.721513890752919,0.9197604790419162,0.8086642599277978,1065,0,8,0,0.0,0.0,0.0,0,0,0,0,0.6506211180124224,0.6655488881044829,0.6580003489792358,1462,0,2,0,0.0,0.0,0.0,0,0,0,0,0.5686797485235283,0.8384831460674157,0.6777159723010557,772,0,6,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
22,0.022,0.721513890752919,0.9197604790419162,0.8086642599277978,1065,0,8,0,0.0,0.0,0.0,0,0,0,0,0.6648841354723708,0.6583127426756089,0.6615821213196169,1648,0,4,0,0.0,0.0,0.0,0,0,0,0,0.5686797485235283,0.8384831460674157,0.6777159723010557,772,0,6,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
23,0.023,0.721513890752919,0.9197604790419162,0.8086642599277978,1065,0,8,0,0.0,0.0,0.0,0,0,0,0,0.6648841354723708,0.6583127426756089,0.6615821213196169,1648,0,4,0,0.0,0.0,0.0,0,0,0,0,0.5686797485235283,0.8384831460674157,0.6777159723010557,772,0,6,0,0.5669190181234228,0.3984745358757128,0.5669190181234228
